"","L2","z"
"2735",156.6811016,947
"2734",156.9044401,947
"2733",157.1660973,947
"2732",157.4277545,947
"2731",157.6510929,947
"2730",157.8361126,947
"2729",158.0211322,947
"2728",158.2444706,947
"2727",158.4294902,947
"2726",158.6528286,947
"2725",158.876167,947
"2724",159.1378242,947
"2723",159.3228439,947
"2722",159.5845011,947
"2721",159.8078395,947
"2720",159.9928591,947
"2719",160.2545163,947
"2718",160.5161736,947
"2717",160.739512,947
"2716",160.9628504,947
"2715",161.2245076,947
"2714",161.4478461,947
"2713",161.6711845,947
"2712",161.8562041,947
"2711",162.0412237,947
"2710",162.2262433,947
"2709",162.4112629,947
"2708",162.5962825,947
"2707",162.8196209,947
"2706",163.0046405,947
"2705",163.1896601,947
"2704",163.3746797,947
"2703",163.5596993,947
"2702",163.7447189,947
"2701",163.9680574,947
"2700",164.153077,947
"2699",164.3380966,947
"2698",164.5231162,947
"2697",164.7081358,947
"2696",164.9314742,947
"2695",165.1164938,947
"2694",165.3015134,947
"2693",165.5248518,947
"2692",165.7098714,947
"2691",165.894891,947
"2690",166.0799106,947
"2689",166.2649302,947
"2688",166.4882687,947
"2687",166.6732883,947
"2686",166.8583079,947
"2685",167.0433275,947
"2684",167.3049847,947
"2683",167.5666419,947
"2682",167.8282992,947
"2681",168.0516376,947
"2680",168.3132948,947
"2679",168.5366332,946
"2678",168.7599717,946
"2677",168.9833101,946
"2676",169.2066485,946
"2675",169.4299869,946
"2674",169.6916441,946
"2673",169.9533014,946
"2672",170.1766398,946
"2671",170.3999782,946
"2670",170.6616355,946
"2669",170.9232927,946
"2668",171.1466311,946
"2667",171.3699695,946
"2666",171.5549891,946
"2665",171.7400087,946
"2664",171.9250283,946
"2663",172.1483668,946
"2662",172.410024,946
"2661",172.6333624,946
"2660",172.8567008,946
"2659",173.0417204,946
"2658",173.22674,946
"2657",173.4117596,946
"2656",173.5967792,946
"2655",173.7817988,946
"2654",174.0434561,946
"2653",174.2667945,946
"2652",174.4901329,946
"2651",174.7134713,946
"2650",174.9368098,946
"2649",175.198467,946
"2648",175.3834866,946
"2647",175.6451438,946
"2646",175.9068011,946
"2645",176.1301395,946
"2644",176.3151591,946
"2643",176.5001787,946
"2642",176.6851983,946
"2641",176.8702179,946
"2640",177.0552375,946
"2639",177.2402571,946
"2638",177.5019143,946
"2637",177.7252528,946
"2636",177.9485912,946
"2635",178.1719296,946
"2634",178.3569492,946
"2633",178.5802876,946
"2632",178.7653072,946
"2631",178.9886456,946
"2630",179.2503029,946
"2629",179.5119601,946
"2628",179.7736173,946
"2627",180.0352746,944
"2626",180.2202942,944
"2625",180.4436326,944
"2624",180.666971,944
"2623",180.8903094,944
"2622",181.1136478,944
"2621",181.2986675,944
"2620",181.4836871,944
"2619",181.6687067,944
"2618",181.8537263,944
"2617",182.0387459,944
"2616",182.2237655,944
"2615",182.4854227,944
"2614",182.7470799,944
"2613",183.0087372,944
"2612",183.2703944,944
"2611",183.5320516,944
"2610",183.7937089,944
"2609",184.0170473,943
"2608",184.2787045,943
"2607",184.5403618,943
"2606",184.7253814,943
"2605",184.910401,943
"2604",185.0954206,943
"2603",185.2804402,943
"2602",185.5037786,943
"2601",185.727117,943
"2600",185.9504554,943
"2599",186.135475,943
"2598",186.3204946,943
"2597",186.5438331,943
"2596",186.7288527,943
"2595",186.9138723,943
"2594",187.0988919,943
"2593",187.2839115,943
"2592",187.5072499,943
"2591",187.7689071,943
"2590",188.0305644,943
"2589",188.215584,943
"2588",188.4389224,943
"2587",188.623942,943
"2586",188.8089616,943
"2585",188.9939812,943
"2584",189.2556384,943
"2583",189.5172957,943
"2582",189.7789529,943
"2581",190.0406101,943
"2580",190.3022674,943
"2579",190.5639246,943
"2578",190.787263,943
"2577",191.0106014,943
"2576",191.195621,943
"2575",191.3806406,943
"2574",191.6039791,943
"2573",191.8273175,943
"2572",192.0123371,943
"2571",192.2356755,943
"2570",192.4206951,943
"2569",192.6057147,943
"2568",192.7907343,943
"2567",192.9757539,943
"2566",193.2374111,943
"2565",193.4990684,943
"2564",193.7224068,943
"2563",193.9457452,943
"2562",194.1307648,943
"2561",194.3924221,943
"2560",194.6540793,943
"2559",194.9157365,943
"2558",195.1773938,943
"2557",195.4007322,942
"2556",195.5857518,942
"2555",195.7707714,942
"2554",195.9941098,942
"2553",196.1791294,942
"2552",196.4024678,942
"2551",196.5874874,940
"2550",196.772507,940
"2549",196.9575266,940
"2548",197.2191839,940
"2547",197.4425223,940
"2546",197.6658607,939
"2545",197.8508803,939
"2544",198.1125375,939
"2543",198.2975571,939
"2542",198.4825768,939
"2541",198.6675964,939
"2540",198.8909348,939
"2539",199.152592,939
"2538",199.4142492,938
"2537",199.6375877,938
"2536",199.8609261,938
"2535",200.0459457,938
"2534",200.2309653,938
"2533",200.4159849,938
"2532",200.6010045,938
"2531",200.7860241,938
"2530",200.9710437,938
"2529",201.1560633,938
"2528",201.3410829,938
"2527",201.6027401,938
"2526",201.7877597,938
"2525",201.9727794,938
"2524",202.157799,938
"2523",202.3428186,938
"2522",202.5278382,938
"2521",202.7128578,938
"2520",202.8978774,938
"2519",203.1212158,938
"2518",203.3062354,938
"2517",203.491255,938
"2516",203.6762746,938
"2515",203.8612942,938
"2514",204.0463138,938
"2513",204.2313334,938
"2512",204.416353,938
"2511",204.6013726,938
"2510",204.7863922,938
"2509",205.0097306,938
"2508",205.1947503,938
"2507",205.4180887,938
"2506",205.6414271,938
"2505",205.8264467,938
"2504",206.0497851,938
"2503",206.3114423,938
"2502",206.4964619,938
"2501",206.7198004,938
"2500",206.90482,938
"2499",207.1281584,938
"2498",207.3898156,938
"2497",207.613154,938
"2496",207.7981736,938
"2495",207.9831932,938
"2494",208.2065317,938
"2493",208.3915513,938
"2492",208.6148897,938
"2491",208.8382281,938
"2490",209.0998853,938
"2489",209.2849049,938
"2488",209.5082434,938
"2487",209.693263,938
"2486",209.9549202,938
"2485",210.2165774,938
"2484",210.4399159,938
"2483",210.7015731,938
"2482",210.9632303,938
"2481",211.2248876,938
"2480",211.448226,937
"2479",211.7098832,937
"2478",211.8949028,937
"2477",212.1182412,937
"2476",212.3032608,937
"2475",212.5265993,937
"2474",212.7499377,937
"2473",212.9732761,937
"2472",213.1966145,937
"2471",213.4582717,937
"2470",213.6432913,937
"2469",213.8283109,937
"2468",214.0133306,937
"2467",214.236669,937
"2466",214.4600074,937
"2465",214.7216646,936
"2464",214.9066842,936
"2463",215.1300226,936
"2462",215.3916799,936
"2461",215.5766995,936
"2460",215.7617191,936
"2459",215.9850575,936
"2458",216.1700771,936
"2457",216.3550967,936
"2456",216.5401163,936
"2455",216.7251359,936
"2454",216.9867932,936
"2453",217.2101316,936
"2452",217.43347,936
"2451",217.6568084,935
"2450",217.8801468,935
"2449",218.1418041,935
"2448",218.3651425,935
"2447",218.5884809,935
"2446",218.8118193,935
"2445",219.0734766,935
"2444",219.3351338,933
"2443",219.5584722,933
"2442",219.7818106,933
"2441",219.9668302,933
"2440",220.2284875,933
"2439",220.4518259,932
"2438",220.6751643,932
"2437",220.9368215,932
"2436",221.1984788,932
